Step	Training Loss
5	3.454900
10	1.388700
15	0.224200
20	0.075200
25	0.058000
30	0.031400
35	0.020000
40	0.018700
45	0.017400
50	0.016300
55	0.014600
60	0.015100
65	0.015300
70	0.014500
75	0.014900
80	0.014900
85	0.014200
90	0.014200
95	0.014200
100	0.016800
105	0.015100
110	0.014800
115	0.014600
120	0.014500
125	0.015400
130	0.015300
135	0.012900
140	0.014200
145	0.014400
150	0.014000
155	0.013500
160	0.015500
165	0.015000
170	0.014000
175	0.013800
180	0.012900
185	0.013300
190	0.012000
195	0.015300
200	0.014000
205	0.012800
210	0.013800
215	0.013500
220	0.014400
225	0.012300
230	0.012900
235	0.013500
240	0.014600
245	0.012700
250	0.014800
255	0.013800
260	0.013500
265	0.014100
270	0.015400
275	0.012100
280	0.011600
285	0.011600
290	0.012200
295	0.011800
300	0.013200
305	0.011500
310	0.012100
315	0.013100
320	0.012400
325	0.013100
330	0.012300
335	0.012600
340	0.011800
345	0.011900
350	0.012400
355	0.013500
360	0.012300
365	0.011500
370	0.011800
375	0.011400
380	0.010800
385	0.011200
390	0.012100
395	0.011000
400	0.010300
405	0.011000
410	0.009700
415	0.011700
420	0.011200
425	0.012100
430	0.011500
435	0.011000
440	0.010300
445	0.010000
450	0.011200
455	0.011400
460	0.009800
465	0.009900
470	0.010400
475	0.010800
480	0.009600
485	0.011500
490	0.010100
495	0.009800
500	0.010800
505	0.010700
510	0.010300
515	0.009400
520	0.012600
525	0.010900
530	0.011200
535	0.009600
540	0.011300
545	0.009900
550	0.011300
555	0.011000
560	0.010800
565	0.009100
570	0.009400
575	0.010100
580	0.009700
585	0.010100
590	0.010000
595	0.009300
600	0.011000
605	0.010400
610	0.009500
615	0.009300
620	0.010700
625	0.009700
630	0.008600
635	0.010300
640	0.012000
645	0.011000
650	0.010100
655	0.012000
660	0.010200
665	0.010700
670	0.010400
675	0.009300
680	0.010600
685	0.010000
690	0.009000
695	0.010700
700	0.009900
705	0.010600
710	0.008600
715	0.009100
720	0.009200
725	0.010600
730	0.009900
735	0.009800
740	0.009900
745	0.011100
750	0.009800
755	0.010000
760	0.009000
765	0.009000
770	0.008600
775	0.009600
780	0.010800
785	0.008900
790	0.010000
795	0.010200
800	0.009400
805	0.008900
810	0.010200
815	0.009900
820	0.008900
825	0.009300
830	0.008900
835	0.009900
840	0.009500
845	0.008600
850	0.010400
855	0.008900
860	0.009400
865	0.009300
870	0.009400
875	0.009300
880	0.008200
885	0.009400
890	0.009400
895	0.008600
900	0.009200
905	0.008700
910	0.008700
915	0.009100
920	0.009500
925	0.008200
930	0.009900
935	0.009900
940	0.008700
945	0.010200
950	0.008700
955	0.010900
960	0.008800
965	0.010300
970	0.009300
975	0.008300
980	0.009100
985	0.009000
990	0.008500
995	0.009200
1000 0.009900


